apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
30.66,0.63,6.97,0.36,partly-cloudy-day,,,0.0,0.0,,1038.23,Mostly Cloudy,30.66,1420718400,1.0,6.216,320.0,,2.24
32.38,,6.78,0.33,clear-day,,,0.0,0.0,,,Clear,32.38,1420722000,,6.216,330.0,,2.24
30.54,0.75,10.41,0.42,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,30.54,1420725600,0.0,6.216,,,0.0
24.04,0.8,6.47,0.4,partly-cloudy-day,,,0.0,0.0,,1038.42,Mostly Cloudy,27.79,1420729200,0.0,6.216,30.0,,3.36
23.82,0.75,6.78,0.41,partly-cloudy-night,,,,,snow,,Mostly Cloudy,27.6,1420732800,0.0,6.216,30.0,,3.36
28.77,1.0,18.33,0.65,cloudy,,,,,snow,,Overcast,28.77,1420740000,0.0,,341.0,,1.32
26.1,1.0,21.73,0.83,cloudy,,,,,snow,,Overcast,26.1,1420750800,0.0,,341.0,,2.63
24.48,0.88,18.67,0.78,cloudy,,,,,snow,,Overcast,24.48,1420761600,0.0,,341.0,,2.63
22.07,0.88,17.32,0.82,cloudy,,,,,snow,,Overcast,22.07,1420772400,0.0,,290.0,,2.63
15.81,0.43,16.5,0.79,partly-cloudy-night,,,,,snow,,Partly Cloudy,21.91,1420783200,0.0,,,,4.48
10.81,0.44,10.41,0.78,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,16.19,1420786800,0.0,6.216,330.0,,3.36
23.38,0.44,15.83,0.72,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,23.38,1420790400,1.0,6.216,330.0,,2.24
26.9,0.52,15.69,0.62,partly-cloudy-day,,,0.0,0.0,,1038.49,Mostly Cloudy,26.9,1420794000,1.0,6.216,331.0,,2.24
39.58,0.44,23.02,0.51,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,39.58,1420797600,2.0,6.216,350.0,,1.11
37.76,0.44,23.02,0.55,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,37.76,1420801200,2.0,6.216,300.0,,2.24
36.19,0.57,21.33,0.54,partly-cloudy-day,,,0.0,0.0,,1034.3,Mostly Cloudy,36.19,1420804800,1.0,6.216,340.0,,1.52
39.58,0.44,23.02,0.51,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,39.58,1420808400,1.0,6.216,,,0.0
33.35,0.75,23.02,0.59,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,35.96,1420812000,0.0,6.216,320.0,,3.36
34.49,0.75,21.21,0.58,partly-cloudy-day,,,0.0,0.0,,1038.49,Mostly Cloudy,34.49,1420815600,0.0,6.216,41.0,,2.24
25.15,0.75,23.02,0.79,partly-cloudy-night,,,0.0,0.0,,,Mostly Cloudy,28.77,1420819200,0.0,6.216,330.0,,3.36
25.85,0.75,23.02,0.77,partly-cloudy-night,,,,,snow,,Mostly Cloudy,29.38,1420822800,0.0,6.216,330.0,,3.36
38.86,1.0,26.98,0.62,cloudy,,,,,rain,,Overcast,38.86,1420826400,0.0,,,,2.24
33.86,1.0,31.49,0.79,cloudy,,,,,rain,,Overcast,37.46,1420837200,0.0,,191.0,,4.57
33.59,0.78,31.66,0.8,partly-cloudy-night,,,,,rain,,Mostly Cloudy,37.23,1420848000,0.0,,175.0,,4.57
34.88,0.85,34.67,0.87,partly-cloudy-night,,,,,rain,,Mostly Cloudy,38.34,1420858800,0.0,,163.0,,4.57
37.04,0.88,34.18,0.75,cloudy,,,,,rain,,Overcast,41.45,1420869600,0.0,,270.0,,6.72
43.16,0.75,32.02,0.65,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,43.16,1420873200,0.0,6.216,,,1.16
39.51,0.75,32.02,0.69,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,41.36,1420876800,1.0,6.216,101.0,,3.36
37.97,0.84,33.72,0.69,partly-cloudy-day,,,0.0,0.0,,1022.4,Mostly Cloudy,43.14,1420880400,1.0,6.216,64.0,,8.96
42.81,0.44,32.02,0.56,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,46.77,1420884000,2.0,6.216,110.0,,8.05
52.15,0.44,32.02,0.46,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,52.15,1420887600,2.0,6.216,,,0.0
44.19,0.61,31.81,0.57,partly-cloudy-day,,,0.0,0.0,,1021.49,Mostly Cloudy,46.26,1420891200,1.0,6.216,270.0,,4.48
50.35,0.19,32.02,0.49,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,50.35,1420894800,1.0,6.216,,,0.0
45.68,0.19,32.02,0.56,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,46.77,1420898400,0.0,6.216,161.0,,3.36
45.03,0.64,33.6,0.61,partly-cloudy-day,,,0.0,0.0,,1021.62,Mostly Cloudy,46.51,1420902000,0.0,6.216,146.0,,3.77
40.42,0.44,33.78,0.69,partly-cloudy-night,,,0.0,0.0,,,Partly Cloudy,43.16,1420905600,0.0,6.216,131.0,,4.69
41.9,0.71,33.63,0.72,partly-cloudy-night,,,,,rain,,Mostly Cloudy,41.9,1420912800,0.0,,,,2.24
33.48,0.63,32.25,0.84,partly-cloudy-night,,,,,rain,,Mostly Cloudy,36.63,1420923600,0.0,,341.0,,3.95
36.78,0.75,32.76,0.85,partly-cloudy-night,,,,,rain,,Mostly Cloudy,36.78,1420934400,0.0,,140.0,,2.63
34.15,0.46,31.36,0.89,partly-cloudy-night,,,,,snow,,Partly Cloudy,34.15,1420945200,0.0,,341.0,,1.32
16.13,,21.21,0.91,clear-night,,,0.0,0.0,,,Clear,23.38,1420948800,0.0,6.216,320.0,,5.82
21.51,,23.02,0.85,clear-night,,,0.0,0.0,,,Clear,26.98,1420952400,0.0,6.216,11.0,,4.69
29.45,0.57,28.44,0.96,partly-cloudy-night,,,0.0,0.0,,1025.08,Mostly Cloudy,29.45,1420956000,0.0,6.216,341.0,,2.48
23.38,,21.21,0.91,clear-day,,,0.0,0.0,,,Clear,23.38,1420959600,,6.216,311.0,,2.24
27.17,,28.41,0.92,clear-day,,,0.0,0.0,,,Clear,30.54,1420963200,,6.216,0.0,,3.36
34.22,0.5,28.13,0.78,partly-cloudy-day,,,0.0,0.0,,1022.92,Mostly Cloudy,34.22,1420966800,1.0,6.216,,,0.0
43.16,,33.78,0.69,clear-day,,,0.0,0.0,,,Clear,43.16,1420970400,,6.216,,,0.0
46.77,0.44,32.02,0.56,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,46.77,1420974000,2.0,6.216,,,0.0
44.72,0.37,32.14,0.61,partly-cloudy-day,,,0.0,0.0,,1017.78,Partly Cloudy,44.72,1420977600,1.0,6.216,290.0,,2.24
46.77,,33.78,0.6,clear-day,,,0.0,0.0,,,Clear,46.77,1420981200,,6.216,,,0.0
46.77,,33.78,0.6,clear-day,,,0.0,0.0,,,Clear,46.77,1420984800,,6.216,,,0.0
54.05,0.64,33.78,0.46,partly-cloudy-day,,,,,rain,,Mostly Cloudy,54.05,1420988400,0.0,6.216,,,4.69
47.74,0.75,39.22,0.68,partly-cloudy-night,,,,,rain,,Mostly Cloudy,49.43,1420999200,0.0,,180.0,,4.69
45.81,0.95,40.82,0.77,cloudy,,,,,rain,,Overcast,47.7,1421010000,0.0,,208.0,,4.57
45.77,0.95,42.73,0.89,cloudy,,,,,rain,,Overcast,45.77,1421020800,0.0,,110.0,,2.63
33.7,1.0,34.08,0.91,cloudy,,,,,rain,,Overcast,36.46,1421031600,0.0,,25.0,,3.56
28.39,0.88,26.8,0.79,cloudy,,,,,snow,,Overcast,32.7,1421042400,0.0,,0.0,,4.48
24.73,0.44,23.02,0.63,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,34.14,1421046000,0.0,6.216,330.0,,13.88
26.24,0.44,23.02,0.63,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,34.14,1421049600,1.0,6.216,311.0,,10.29
23.39,0.46,21.48,0.66,partly-cloudy-day,,,0.0,0.0,,1025.08,Partly Cloudy,31.65,1421053200,1.0,6.216,330.0,,9.81
30.73,0.44,17.61,0.44,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,37.76,1421056800,2.0,6.216,330.0,,10.29
29.34,0.19,15.83,0.4,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,37.76,1421060400,2.0,6.216,300.0,,13.88
29.06,0.38,12.58,0.35,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,37.54,1421064000,1.0,6.216,327.0,,13.88
33.21,0.19,14.0,0.37,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,37.76,1421067600,1.0,6.216,20.0,,5.82
31.25,0.19,15.83,0.4,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,37.76,1421071200,0.0,6.216,330.0,,9.18
28.57,0.25,17.53,0.46,partly-cloudy-day,,,0.0,0.0,,1029.1,Partly Cloudy,36.19,1421074800,0.0,6.216,328.0,,10.76
29.78,,17.61,0.46,clear-night,,,,,rain,,Clear,36.57,1421078400,0.0,6.216,300.0,,9.18
27.1,0.44,14.63,0.51,partly-cloudy-night,,,,,snow,,Partly Cloudy,30.86,1421085600,0.0,,56.0,,3.71
27.14,,17.39,0.55,clear-night,,,,,snow,,Clear,31.63,1421096400,0.0,,50.0,,4.48
25.32,,26.62,0.81,clear-night,,,,,snow,,Clear,31.81,1421107200,0.0,,0.0,,6.93
26.14,,21.74,0.83,clear-night,,,,,snow,,Clear,26.14,1421118000,0.0,,320.0,,2.63
26.05,,18.33,0.72,clear-night,,,,,snow,,Clear,26.05,1421128800,0.0,,,,2.24
15.18,,15.83,0.78,clear-day,,,0.0,0.0,,,Clear,21.57,1421132400,,6.216,311.0,,4.69
23.12,,17.61,0.67,clear-day,,,0.0,0.0,,,Clear,26.98,1421136000,,6.216,330.0,,3.36
32.15,0.38,17.66,0.55,partly-cloudy-day,,,0.0,0.0,,1034.42,Partly Cloudy,32.15,1421139600,1.0,6.216,0.0,,2.96
35.96,,21.21,0.55,clear-day,,,0.0,0.0,,,Clear,35.96,1421143200,,6.216,330.0,,2.24
39.58,,21.21,0.47,clear-day,,,0.0,0.0,,,Clear,39.58,1421146800,,6.216,191.0,,1.11
